Event,Date,White,Black,Result,Opening,ECO,WhiteElo,BlackElo,TimeControl,Termination,EndgameStartMove,PawnCount,RookCount,QueenCount,Winner,WhiteElo_normalized,BlackElo_normalized,WhiteElo_scaled,BlackElo_scaled,Result_encoded,BaseTime,TimeControlValidation,UniqueID
Blitz,2024.08.01,fabianromero0610,mbcymbals,0-1,Hungarian Opening,A00,1091,1093,300+0,Normal,101.0,3.0,0.0,1.0,Black,0.2505438723712835,0.2512690355329949,-1.457049645309689,-1.4512151440512189,0.0,300.0,Correct,1613
Blitz,2024.08.01,elnurzeynalov090680,entangledmotion,1-0,Latvian Gambit,C40,2057,1960,300+0,Normal,114.0,3.0,0.0,0.0,White,0.6007976794778825,0.5656272661348803,1.0089864144687044,0.7604563983907776,1.0,300.0,Correct,1614
Bullet,2024.08.01,ZanzibarPM,NyiNaung,1-0,Mieses-Kotroc Variation,B01,1931,2027,120+0,Time forfeit,115.0,3.0,1.0,0.0,White,0.5551124002900653,0.5899202320522118,0.6873295371063053,0.9313698855229734,1.0,120.0,Correct,1615
Blitz,2024.08.01,fankizonki,ximikos,1-0,Lolli Variation,C44,1075,1070,180+2,Normal,84.0,2.0,1.0,0.0,White,0.2447425670775924,0.242929659173314,-1.4978949630699938,-1.5098869381413755,1.0,180.0,Correct,1616
Rapid,2024.08.01,sasi73,Will-Ayala1979,0-1,Hungarian Opening,A00,1688,1643,600+0,Normal,148.0,1.0,1.0,1.0,Black,0.4670050761421319,0.4506889050036258,0.0669912736216783,-0.0481939810257309,0.0,600.0,Correct,1617
Blitz,2024.08.01,Dimus812,Krooga07,0-1,Queen's Pawn Game,D00,1290,1371,180+0,Time forfeit,89.0,4.0,0.0,0.0,Black,0.3226976069615663,0.3520667150108775,-0.9490360056659,-0.7420517198310631,0.0,180.0,Correct,1618
Blitz,2024.08.01,s_tresspasser,KevinDM16,0-1,Vienna Game,C25,1413,1406,180+0,Normal,85.0,2.0,2.0,0.0,Black,0.3672951414068165,0.3647570703408267,-0.6350376253835579,-0.6527685549112594,0.0,180.0,Correct,1619
Blitz,2024.08.01,wiskiss92,xinkaisen,1-0,Normal Variation,C00,1141,1154,300+0,Normal,97.0,4.0,0.0,0.0,White,0.2686729514140682,0.2733865119651921,-1.329408027308737,-1.2956073423338466,1.0,300.0,Correct,1620
Blitz,2024.08.01,mahmodshwqe1,simbabuster,0-1,Van't Kruijs Opening,A00,1529,1564,300+0,Normal,100.0,2.0,0.0,1.0,Black,0.4093546047860769,0.4220449601160261,-0.3389090716213491,-0.2497188389875737,0.0,300.0,Correct,1621
Bullet,2024.08.01,platothewise,Gaciman,0-1,Old Benoni,A43,2223,2164,60+0,Normal,82.0,3.0,1.0,0.0,Black,0.6609862218999275,0.6395939086294417,1.4327565862318654,1.2808497024947767,0.0,60.0,Correct,1622
