Event,Date,White,Black,Result,Opening,ECO,WhiteElo,BlackElo,TimeControl,Termination,EndgameStartMove,PawnCount,RookCount,QueenCount,Winner,WhiteElo_normalized,BlackElo_normalized,WhiteElo_scaled,BlackElo_scaled,Result_encoded,BaseTime,TimeControlValidation,UniqueID
Blitz,2024.08.01,RodolfoAlv,CAV-Pablo,1/2-1/2,"Giuoco Pianissimo, Normal",C50,1721,1718,300+1,Normal,93.0,2.0,0.0,0.0,Draw,0.4789702683103698,0.4778825235678027,0.1512347415023067,0.1431270866595629,0.5,300.0,Correct,1
Bullet,2024.08.01,Babusckah,sureelmejor,1-0,Slav Invitation,A04,2606,2266,60+0,Time forfeit,91.0,3.0,0.0,0.0,White,0.7998549673676577,0.6765772298767223,2.410491380119158,1.5410463545467763,1.0,60.0,Correct,2
Blitz,2024.08.01,Madsjo74,SaulBena,1/2-1/2,Smith-Morra Gambit,B21,1159,1151,180+2,Normal,100.0,1.0,2.0,0.0,Draw,0.2751994198694706,0.2722987672226251,-1.2834570448283944,-1.3032601850412584,0.5,180.0,Correct,3
Blitz,2024.08.01,nbanco,Nikolay_Car,0-1,Carls-Bremen System,A22,1920,1922,180+2,Normal,113.0,2.0,0.0,0.0,Black,0.5511240029006527,0.551849166062364,0.6592483811460959,0.6635203907635621,0.0,180.0,Correct,4
Blitz,2024.08.01,Matt194759374,kingmaker2,0-1,Queen's Pawn Game,D00,1511,1493,180+0,Time forfeit,103.0,4.0,0.0,0.0,Black,0.4028281363306744,0.3963016678752719,-0.3848600541016919,-0.4308361163963185,0.0,180.0,Correct,5
Blitz,2024.08.01,hydr13,Jay_patel13,0-1,Englund Gambit,A40,1840,1835,180+0,Time forfeit,130.0,3.0,0.0,0.0,Black,0.5221174764321972,0.5203045685279187,0.4550217923445726,0.4415879522486212,0.0,180.0,Correct,6
Blitz,2024.08.01,alexvasconcellos,Dchestking,1-0,"Symmetrical Variation, Fianchetto Variation",A34,1198,1206,300+0,Normal,77.0,1.0,2.0,0.0,White,0.2893401015228426,0.2922407541696882,-1.1838965827876518,-1.1629580687387095,1.0,300.0,Correct,7
Blitz,2024.08.01,gmctmofc,Cherryknight,1/2-1/2,French Defense,C00,1225,1244,300+0,Time forfeit,113.0,3.0,0.0,0.0,Draw,0.2991298042059463,0.3060188542422045,-1.1149701090671376,-1.066022061111494,0.5,300.0,Correct,8
Bullet,2024.08.01,catse21,Finance04,0-1,"Accelerated Dragon, Modern Variation",B34,2422,2505,60+0,Normal,94.0,3.0,1.0,0.0,Black,0.7331399564902104,0.7632342277012327,1.9407702258756545,2.15072282357058,0.0,60.0,Correct,9
Bullet,2024.08.01,fiesty1,tiagorech,0-1,Dutch Variation,A01,1799,1800,60+0,Time forfeit,88.0,4.0,0.0,0.0,Black,0.5072516316171138,0.5076142131979695,0.3503556655837919,0.3523047873288175,0.0,60.0,Correct,10
Blitz,2024.08.01,Megac1,riveremb1,1-0,Bishop's Opening,C23,1085,1019,180+2,Normal,95.0,3.0,0.0,0.0,White,0.2483683828861494,0.2244379985496737,-1.4723666394698034,-1.6399852641673751,1.0,180.0,Correct,11
Blitz,2024.08.01,saifallahe,figo_ole,1-0,Van't Kruijs Opening,A00,1368,1458,180+0,Time forfeit,152.0,2.0,0.0,0.0,White,0.3509789702683104,0.3836113125453226,-0.7499150815844148,-0.5201192813161223,1.0,180.0,Correct,12
Blitz,2024.08.01,lipp89,camipalv18,1-0,Italian Variation,C50,1490,1347,240+2,Normal,90.0,4.0,0.0,0.0,White,0.3952139231327048,0.3433647570703408,-0.4384695336620917,-0.8032744614903572,1.0,240.0,Correct,13
Blitz,2024.08.01,ferchis04,A11Carlos,1-0,King's Knight Opening,C40,1782,1512,180+1,Normal,105.0,3.0,0.0,1.0,White,0.5010877447425671,0.40319071791153,0.3069575154634682,-0.3823681125827107,1.0,180.0,Correct,14
Rapid,2024.08.01,masterengels23,proletkatapelt1983,1-0,Modern Variation,A01,1671,1653,600+0,Normal,93.0,3.0,0.0,0.0,White,0.4608411892675852,0.4543147208121827,0.0235931235013546,-0.0226845053343584,1.0,600.0,Correct,15
Blitz,2024.08.01,NaulAmilSatierf,sashaxx,0-1,Knight Variation,C00,1382,1390,180+2,Time forfeit,101.0,4.0,0.0,0.0,Black,0.3560551124002901,0.3589557650471355,-0.7141754285441482,-0.6935837160174554,0.0,180.0,Correct,16
Bullet,2024.08.01,salahsalimhanebaly,schachgenie,1-0,Panov Transfer,B01,2332,2314,60+0,Time forfeit,121.0,3.0,0.0,0.0,White,0.700507614213198,0.6939811457577955,1.7110153134739408,1.6634918378653645,1.0,60.0,Correct,17
Blitz,2024.08.01,Chess_Gangsta94,Abo-aody1,1-0,Classical Variation,B56,2040,2035,180+0,Time forfeit,88.0,2.0,0.0,0.0,White,0.5946337926033357,0.5928208846990572,0.9655882643483809,0.9517774660760714,1.0,180.0,Correct,18
Blitz,2024.08.01,rishik10,aquilanoalfredo,1-0,Horwitz Defense,A40,1876,1862,180+0,Time forfeit,153.0,2.0,0.0,1.0,White,0.5351704133430022,0.5300942712110225,0.5469237573052581,0.5104635366153271,1.0,180.0,Correct,19
Blitz,2024.08.01,gadgad100,Johnny-ramone,0-1,Normal Variation,C00,1307,1250,180+0,Normal,82.0,2.0,0.0,1.0,Black,0.3288614938361132,0.3081943437273386,-0.9056378555455764,-1.0507163756966704,0.0,180.0,Correct,20
Blitz,2024.08.01,yosteve01,efraincotito,0-1,French Defense,C00,1812,1818,180+0,Normal,102.0,2.0,1.0,0.0,Black,0.5119651921682379,0.514140681653372,0.3835424862640395,0.398221843573288,0.0,180.0,Correct,21
Rapid,2024.08.01,abdullah300,cubicinfinity,0-1,Accelerated London System,D00,1465,1392,600+0,Normal,92.0,3.0,0.0,1.0,Black,0.3861493836113125,0.359680928208847,-0.5022903426625678,-0.6884818208791809,0.0,600.0,Correct,22
Blitz,2024.08.01,tukov,La_Mistica1,0-1,Exchange Variation,C01,2061,2062,180+0,Time forfeit,128.0,2.0,1.0,0.0,Black,0.6022480058013053,0.602610587382161,1.0191977439087807,1.020653050442777,0.0,180.0,Correct,23
Blitz,2024.08.01,IndFra,wbch,0-1,"Advance Variation, Milner-Barry Gambit",C02,1694,1670,180+0,Normal,105.0,4.0,0.0,0.0,Black,0.4691805656272662,0.4604786076867295,0.0823082677817926,0.0206816033409748,0.0,180.0,Correct,24
Bullet,2024.08.01,MohsinHussein,gustavopiatti,1-0,Hungarian Opening,A00,1820,1802,60+0,Time forfeit,89.0,3.0,0.0,1.0,White,0.5148658448150834,0.508339376359681,0.4039651451441918,0.3574066824670919,1.0,60.0,Correct,25
Blitz,2024.08.01,bedazzle99,Aleksfossan,1-0,Van't Kruijs Opening,A00,2358,2374,180+0,Normal,88.0,2.0,2.0,0.0,White,0.7099347353154459,0.7157360406091371,1.777388954834436,1.8165486920136,1.0,180.0,Correct,26
Blitz,2024.08.01,eburbank,Santiagohdzbtro2018,0-1,Leonardis Variation,C20,781,654,180+0,Time forfeit,107.0,3.0,1.0,0.0,Black,0.1381435823060189,0.0920957215373459,-2.248427676915592,-2.571081126902472,0.0,180.0,Correct,27
Rapid,2024.08.01,NiKa220420,MiKayumov,0-1,Russian Game,C42,1065,1112,900+0,Time forfeit,91.0,3.0,0.0,0.0,Black,0.2411167512690355,0.2581580855692531,-1.5234232866701842,-1.402747140237611,0.0,900.0,Correct,28
Blitz,2024.08.01,linthegod,Vefega,0-1,Main Line,B01,1563,1524,180+0,Normal,89.0,3.0,1.0,0.0,Black,0.4216823785351704,0.4075416968817984,-0.2521127713807017,-0.3517567417530637,0.0,180.0,Correct,29
Blitz,2024.08.01,tommasovitch,Ikaros23000,1/2-1/2,Old Sicilian,B30,2026,1956,180+0,Normal,91.0,3.0,0.0,0.0,Draw,0.589557650471356,0.5641769398114576,0.9298486113081142,0.7502526081142286,0.5,180.0,Correct,30
Blitz,2024.08.01,Rogervzla,Dacruca,0-1,Soller Gambit,A40,1387,1344,180+0,Time forfeit,96.0,1.0,2.0,0.0,Black,0.3578680203045685,0.3422770123277737,-0.701411266744053,-0.8109273041977689,0.0,180.0,Correct,31
Blitz,2024.08.01,abaylon5,ferupe,1-0,Scandinavian Defense,B01,1624,1700,180+0,Normal,106.0,2.0,1.0,1.0,White,0.4437998549673676,0.4713560551124003,-0.0963899974195402,0.0972100304150923,1.0,180.0,Correct,32
Blitz,2024.08.01,Mudy7,thepersianprince,1/2-1/2,Falkbeer Variation,C26,2284,2207,180+0,Normal,86.0,3.0,0.0,0.0,Draw,0.6831036983321247,0.6551849166062365,1.5884793601930267,1.3905404479676786,0.5,180.0,Correct,33
Blitz,2024.08.01,JavierDAV,Leander07,1-0,Horwitz Defense,A40,1065,1082,180+0,Time forfeit,99.0,2.0,0.0,1.0,White,0.2411167512690355,0.2472806381435823,-1.5234232866701842,-1.4792755673117286,1.0,180.0,Correct,34
Classic,2024.08.01,pistolet423,DkPalau2015,1-0,King's Gambit,C30,1790,1810,1800+0,Normal,109.0,4.0,0.0,0.0,White,0.5039883973894126,0.5112400290065264,0.3273801743436205,0.3778142630201899,1.0,1800.0,Correct,35
Classic,2024.08.01,vghvixtooooor,gavran55,0-1,"Najdorf Variation, Freak Attack",B90,2024,2062,1800+0,Normal,99.0,3.0,0.0,0.0,Black,0.5888324873096447,0.602610587382161,0.924742946588076,1.020653050442777,0.0,1800.0,Correct,36
Rapid,2024.08.01,turbulator,achilles2018,1-0,Steinitz Attack,C00,1232,1360,600+0,Time forfeit,108.0,4.0,0.0,0.0,White,0.3016678752719361,0.3480783176214648,-1.0971002825470044,-0.7701121430915729,1.0,600.0,Correct,37
Rapid,2024.08.01,Aiden201612,mukeshgh05,1-0,"Accelerated Dragon, Modern Variation",B34,1553,1511,600+0,Time forfeit,106.0,2.0,2.0,0.0,White,0.4180565627266135,0.4028281363306744,-0.2776410949808922,-0.384919060151848,1.0,600.0,Correct,38
Blitz,2024.08.01,speedrunmaster69,AdrianCPolit,0-1,Symmetrical Variation,D02,1762,1711,180+2,Time forfeit,98.0,4.0,0.0,0.0,Black,0.4938361131254531,0.4753444525018129,0.2559008682630874,0.1252704536756021,0.0,180.0,Correct,39
Blitz,2024.08.01,MikhailKRW,MrPanosCCYC,1/2-1/2,Semi-Tarrasch Defense,D41,2383,2328,300+0,Normal,101.0,0.0,3.0,0.0,Draw,0.7189992748368383,0.6990572878897752,1.841209763834912,1.6992051038332858,0.5,300.0,Correct,40
Blitz,2024.08.01,simonphoenix,sandman6969,0-1,Danish Gambit,C21,1205,1228,300+0,Normal,133.0,2.0,2.0,0.0,Black,0.2918781725888325,0.3002175489485134,-1.1660267562675184,-1.10683722221769,0.0,300.0,Correct,41
Blitz,2024.08.01,Gerson-galindo,cptMcmilan,0-1,Schmidt Variation,C45,1456,1423,300+0,Normal,66.0,3.0,1.0,0.0,Black,0.3828861493836113,0.3709209572153734,-0.5252658339027392,-0.6094024462359261,0.0,300.0,Correct,42
Blitz,2024.08.01,Gerasin_UwU,Asmit2022,1-0,Classical Variation,C45,1696,1617,180+0,Normal,101.0,1.0,2.0,1.0,White,0.4699057287889775,0.4412617839013778,0.0874139325018306,-0.1145186178232994,1.0,180.0,Correct,43
Bullet,2024.08.01,Dr_Drunky,CrystalEdge64,0-1,Indian Defense,A45,2219,2352,60+0,Time forfeit,82.0,4.0,0.0,0.0,Black,0.6595358955765047,0.7077592458303118,1.4225452567917891,1.76042784549258,0.0,60.0,Correct,44
Blitz,2024.08.01,cartago70,Aj_Kidapawan,1-0,King's Indian Attack,A07,2111,2118,180+0,Time forfeit,86.0,2.0,0.0,2.0,White,0.6203770848440899,0.6229151559100797,1.1468393619097328,1.1635061143144632,1.0,180.0,Correct,45
Blitz,2024.08.01,sosiuk1123,Clorofilo,1-0,King's Indian Attack,A07,1890,1909,180+0,Time forfeit,165.0,2.0,1.0,0.0,White,0.5402465554749819,0.5471356055112401,0.5826634103455246,0.6303580723647778,1.0,180.0,Correct,46
Blitz,2024.08.01,Rezasharafi__98,maxsav20000,0-1,Main Line,B15,1796,1772,180+0,Time forfeit,102.0,2.0,2.0,0.0,Black,0.5061638868745467,0.4974619289340102,0.3426971685037348,0.2808782553929744,0.0,180.0,Correct,47
Blitz,2024.08.01,abeliyoo,good1958,0-1,Queen's Pawn Game,A41,1923,1927,180+2,Time forfeit,112.0,2.0,2.0,0.0,Black,0.5522117476432197,0.5536620739666425,0.666906878226153,0.6762751286092483,0.0,180.0,Correct,48
Bullet,2024.08.01,Mathperson64,AliAlhashemi,0-1,Valencian Variation,B01,2626,2600,60+0,Time forfeit,99.0,1.0,2.0,0.0,Black,0.8071065989847716,0.7976794778825236,2.4615480273195387,2.393062842638618,0.0,60.0,Correct,49
Bullet,2024.08.01,the_boa_constrictor,tauro83,0-1,Wade-Tartakower Defense,A46,2417,2273,60+0,Time forfeit,94.0,1.0,0.0,0.0,Black,0.7313270485859318,0.6791153009427121,1.9280060640755592,1.5589029875307372,0.0,60.0,Correct,50
Bullet,2024.08.01,KiluklichesS,balsss,1-0,Polish Defense,A40,2059,2091,60+0,Time forfeit,101.0,2.0,1.0,0.0,White,0.6015228426395939,0.6131254532269761,1.014092079188743,1.0946305299477574,1.0,60.0,Correct,51
Bullet,2024.08.01,rooney92,McHamHams,0-1,Scandinavian Defense,B01,1661,1630,60+0,Time forfeit,80.0,2.0,2.0,0.0,Black,0.4572153734590283,0.4459753444525017,-0.0019352000988357,-0.0813562994245151,0.0,60.0,Correct,52
Blitz,2024.08.01,Adro81,eqlibriumsucks,0-1,Haxo Gambit,C44,1933,1972,180+0,Time forfeit,99.0,2.0,0.0,0.0,Black,0.5558375634517766,0.5699782451051486,0.6924352018263434,0.7910677692204245,0.0,180.0,Correct,53
Blitz,2024.08.01,Gammlik,DFireLife,0-1,Indian Defense,A45,1637,1596,300+3,Normal,85.0,3.0,1.0,0.0,Black,0.4485134155184916,0.4336475707034083,-0.0632031767392927,-0.1680885167751817,0.0,300.0,Correct,54
Blitz,2024.08.01,Nma_Hassan,brut11345,1/2-1/2,Hungarian Opening,A00,2154,2057,300+0,Normal,126.0,3.0,0.0,0.0,Draw,0.6359680928208847,0.6007976794778825,1.2566111533905515,1.0078983125970908,0.5,300.0,Correct,55
Bullet,2024.08.01,elpitagoras,NoBC4,0-1,"Main Line, Mieses Variation",B01,2206,2194,60+0,Time forfeit,100.0,3.0,1.0,0.0,Black,0.6548223350253807,0.6504713560551124,1.3893584361115416,1.3573781295688945,0.0,60.0,Correct,56
Bullet,2024.08.01,Baag4life,jmpion7,0-1,"Anglo-Indian Defense, Scandinavian Defense",A15,2769,2715,60+0,Normal,94.0,3.0,0.0,0.0,Black,0.8589557650471356,0.8393763596809282,2.826603054802262,2.6864218130894018,0.0,60.0,Correct,57
Bullet,2024.08.01,wokenhero,vikaleshchuk,1-0,Queen's Knight,C00,1937,1884,60+0,Time forfeit,117.0,2.0,1.0,0.0,White,0.5572878897751994,0.5380710659898477,0.7026465312664196,0.5665843831363465,1.0,60.0,Correct,58
Blitz,2024.08.01,ChessNoob_Luis,Garohn,1-0,Closed,B23,1532,1640,180+0,Normal,109.0,3.0,0.0,0.0,White,0.4104423495286439,0.4496011602610588,-0.331250574541292,-0.0558468237331426,1.0,180.0,Correct,59
Blitz,2024.08.01,ribery_7,c_a,1/2-1/2,Chigorin Variation,D02,2105,2081,180+0,Normal,89.0,2.0,2.0,0.0,Draw,0.6182015953589558,0.6094996374184192,1.1315223677496185,1.069121054256385,0.5,180.0,Correct,60
Blitz,2024.08.01,reyjaulasez,crystalizegrudge1,0-1,Accelerated London System,D00,1767,1758,180+3,Normal,105.0,3.0,0.0,0.0,Black,0.4956490210297317,0.4923857868020305,0.2686650300631826,0.2451649894250529,0.0,180.0,Correct,61
Bullet,2024.08.01,FuturoMestre2024,DemotingKings,1-0,Horwitz Defense,A40,2462,2328,30+0,Normal,107.0,2.0,2.0,0.0,White,0.747643219724438,0.6990572878897752,2.042883520276416,1.6992051038332858,1.0,30.0,Correct,62
Bullet,2024.08.01,HELLENAS_THEOS,seph1roth,1-0,Sicilian Invitation,A04,2056,2089,60+0,Time forfeit,119.0,2.0,1.0,1.0,White,0.6004350978970269,0.6124002900652646,1.0064335821086854,1.089528634809483,1.0,60.0,Correct,63
Bullet,2024.08.01,ElSantiPena08,stelmeitovich,0-1,Owen Defense,B00,1874,1998,60+0,Time forfeit,111.0,4.0,0.0,0.0,Black,0.5344452501812907,0.5794053662073967,0.54181809258522,0.8573924060179932,0.0,60.0,Correct,64
Bullet,2024.08.01,elcocodrilo1978,hehehehohohohihihi,1-0,London System,D02,1385,1379,120+1,Normal,119.0,3.0,0.0,1.0,White,0.3571428571428571,0.3549673676577229,-0.7065169314640911,-0.7216441392779651,1.0,120.0,Correct,65
Bullet,2024.08.01,ani2123,crismano,0-1,Chigorin Defense,D07,1511,1502,120+1,Time forfeit,94.0,3.0,0.0,0.0,Black,0.4028281363306744,0.3995649021029731,-0.3848600541016919,-0.4078775882740832,0.0,120.0,Correct,66
Rapid,2024.08.01,sahinilik,shlokp20,1-0,Tennison Gambit,A06,763,738,600+0,Normal,95.0,2.0,1.0,1.0,White,0.1316171138506164,0.122552574329224,-2.2943786593959348,-2.356801531094943,1.0,600.0,Correct,67
Blitz,2024.08.01,Cristian_Answer,jamesRandi_Biloba,0-1,Small Center Defense,C00,637,603,300+0,Normal,85.0,1.0,1.0,0.0,Black,0.0859318346627991,0.0736040609137055,-2.616035536758334,-2.701179452928472,0.0,300.0,Correct,68
Blitz,2024.08.01,Moreno2017,RenaChess,1/2-1/2,"Classical Variation, Giuoco Pianissimo",C54,1788,1806,300+0,Normal,90.0,2.0,1.0,0.0,Draw,0.5032632342277013,0.5097897026831036,0.3222745096235824,0.3676104727436409,0.5,300.0,Correct,69
Blitz,2024.08.01,Inferno_1,ChemStud24,1-0,Najdorf Variation,B90,1956,1849,300+3,Normal,116.0,2.0,1.0,1.0,White,0.5641769398114576,0.5253807106598984,0.7511503461067813,0.4773012182165427,1.0,300.0,Correct,70
Blitz,2024.08.01,MicLeprechuanPull,AkshayCh5ss,1-0,"Anglo-Indian Defense, Queen's Knight Variation",A16,1851,2089,300+3,Normal,121.0,2.0,0.0,1.0,White,0.5261058738216099,0.6124002900652646,0.483102948304782,1.089528634809483,1.0,300.0,Correct,71
Blitz,2024.08.01,djffalcaoZZz,Eduardo_Cezar09,1/2-1/2,Closed,C84,1850,1674,180+0,Time forfeit,110.0,3.0,1.0,0.0,Draw,0.5257432922407541,0.4619289340101522,0.480550115944763,0.0308853936175238,0.5,180.0,Correct,72
Blitz,2024.08.01,antaresaaz,foxycat,1-0,"Symmetrical Variation, Pseudo-Catalan",D02,1704,1708,180+0,Normal,73.0,3.0,1.0,0.0,White,0.4728063814358231,0.4742567077592458,0.107836591381983,0.1176176109681903,1.0,180.0,Correct,73
Blitz,2024.08.01,stroberwav,Escarlet56,1/2-1/2,Sicilian Invitation,A04,1806,1777,240+2,Normal,110.0,2.0,2.0,0.0,Draw,0.5097897026831036,0.4992748368382886,0.3682254921039252,0.2936329932386607,0.5,240.0,Correct,74
Bullet,2024.08.01,Buhari_Muhammed,Radenke,1/2-1/2,Pirc Invitation,A04,2526,2570,60+0,Normal,102.0,2.0,0.0,0.0,Draw,0.7708484408992023,0.7868020304568528,2.2062647913176345,2.3165344155645005,0.5,60.0,Correct,75
Blitz,2024.08.01,hellokitty10,ihaveamoose,1/2-1/2,Sicilian Defense,B20,1888,1889,180+0,Time forfeit,113.0,3.0,1.0,0.0,Draw,0.5395213923132705,0.5398839738941261,0.5775577456254866,0.5793391209820328,0.5,180.0,Correct,76
Blitz,2024.08.01,HVF,kral71_66,1-0,Exchange Variation,C01,1868,1871,180+0,Normal,124.0,2.0,0.0,1.0,White,0.5322697606961566,0.5333575054387237,0.5265010984251057,0.5334220647375623,1.0,180.0,Correct,77
Blitz,2024.08.01,Fishyhardy,rolando450cortes,1-0,"Accelerated London System, Steinitz Countergambit",D00,1902,1967,180+0,Normal,79.0,3.0,1.0,0.0,White,0.5445975344452502,0.5681653372008701,0.6132973986657532,0.7783130313747384,1.0,180.0,Correct,78
Bullet,2024.08.01,blaqriver,Med80,0-1,London System,A46,2023,2079,60+0,Time forfeit,104.0,3.0,0.0,0.0,Black,0.588469905728789,0.6087744742567077,0.9221901142280572,1.0640191591181103,0.0,60.0,Correct,79
Rapid,2024.08.01,defeatbyknight,mikedon,0-1,Levitsky Attack,D00,1835,1921,600+0,Normal,128.0,3.0,0.0,1.0,Black,0.5203045685279187,0.5514865844815083,0.4422576305444774,0.6609694431944249,0.0,600.0,Correct,80
Blitz,2024.08.01,Wiwichess62,MNchessplayer123,1/2-1/2,Colle System,D04,1322,1256,300+0,Normal,81.0,4.0,0.0,0.0,Draw,0.3343002175489485,0.3103698332124728,-0.8673453701452907,-1.035410690281847,0.5,300.0,Correct,81
Bullet,2024.08.01,Bluedynasty,Morli59,1-0,Berlin Defense,C24,1883,1898,60+0,Time forfeit,93.0,3.0,1.0,0.0,White,0.537708484408992,0.5431472081218274,0.5647935838253914,0.6022976491042681,1.0,60.0,Correct,82
Bullet,2024.08.01,Hugo010,IHD,1-0,Symmetrical Variation,A00,2396,2287,60+0,Time forfeit,99.0,4.0,0.0,0.0,White,0.7237128353879623,0.6841914430746918,1.87439658451516,1.5946162534986583,1.0,60.0,Correct,83
Bullet,2024.08.01,james_safadao,hataylisamara,0-1,Sicilian Invitation,A00,1967,1987,60+0,Time forfeit,116.0,4.0,0.0,0.0,Black,0.5681653372008701,0.5754169688179841,0.7792315020669908,0.8293319827574833,0.0,60.0,Correct,84
Rapid,2024.08.01,ahmed_artess,Pennine-walker,1-0,Bishop's Opening,C23,1279,1196,600+0,Normal,138.0,2.0,2.0,0.0,White,0.3187092095721537,0.2886149383611313,-0.9771171616261094,-1.188467544430082,1.0,600.0,Correct,85
Bullet,2024.08.01,Makeev_Alexander,dumau,1-0,Benoni Gambit Accepted,A43,2478,2415,60+0,Time forfeit,100.0,4.0,0.0,0.0,White,0.7534445250181291,0.7306018854242204,2.0837288380367207,1.9211375423482264,1.0,60.0,Correct,86
Bullet,2024.08.01,Juandeuss,DiegoC32,1-0,Englund Gambit,A40,1900,1921,60+0,Time forfeit,85.0,3.0,1.0,0.0,White,0.5438723712835388,0.5514865844815083,0.608191733945715,0.6609694431944249,1.0,60.0,Correct,87
Rapid,2024.08.01,Just_Smile,wise1025,0-1,La Bourdonnais Variation,C00,1287,1256,600+0,Normal,105.0,2.0,2.0,0.0,Black,0.3216098622189993,0.3103698332124728,-0.9566945027459572,-1.035410690281847,0.0,600.0,Correct,88
Bullet,2024.08.01,Mr_Eace,graali,0-1,Agincourt Defense,A13,2050,2050,60+0,Time forfeit,101.0,4.0,0.0,0.0,Black,0.5982596084118926,0.5982596084118926,0.9911165879485712,0.9900416796131302,0.0,60.0,Correct,89
Bullet,2024.08.01,Rameshwar244,ferfordk,1/2-1/2,Tennison Gambit,A06,1663,1704,60+0,Time forfeit,86.0,4.0,0.0,0.0,Draw,0.4579405366207396,0.4728063814358231,0.0031704646212023,0.1074138206916413,0.5,60.0,Correct,90
Bullet,2024.08.01,Bashirrabiu777,Almeida1974,1/2-1/2,Van Geet Opening,A00,2244,2273,60+0,Time forfeit,90.0,3.0,0.0,0.0,Draw,0.668600435097897,0.6791153009427121,1.4863660657922653,1.5589029875307372,0.5,60.0,Correct,91
Blitz,2024.08.01,mohammad7798,tluwuk,0-1,Queen's Pawn Game,D00,1542,1602,180+2,Normal,118.0,2.0,1.0,1.0,Black,0.4140681653372008,0.4358230601885424,-0.3057222509411016,-0.1527828313603582,0.0,180.0,Correct,92
Blitz,2024.08.01,Giakhiem06,dpalomares,0-1,Snyder Variation,B20,1785,1759,180+2,Normal,90.0,2.0,2.0,0.0,Black,0.5021754894851341,0.4927483683828861,0.3146160125435253,0.2477159369941901,0.0,180.0,Correct,93
Blitz,2024.08.01,Beytullahd,SunkingKM,1-0,Queen's Gambit Accepted,D20,1445,1437,300+0,Time forfeit,106.0,2.0,2.0,0.0,White,0.3788977519941987,0.3759970993473531,-0.5533469898629486,-0.5736891802680046,1.0,300.0,Correct,94
Blitz,2024.08.01,dowmyx,Mikhail_v8,0-1,Ware Defense,B00,1357,1397,300+0,Normal,128.0,3.0,0.0,1.0,Black,0.3469905728788978,0.3614938361131254,-0.7779962375446242,-0.6757270830334946,0.0,300.0,Correct,95
Bullet,2024.08.01,Caspio_1503,fmslw,1-0,Queen's Pawn Game,A40,2086,2095,60+0,Normal,78.0,3.0,0.0,0.0,White,0.6113125453226976,0.6145757795503989,1.0830185529092566,1.1048343202243065,1.0,60.0,Correct,96
Bullet,2024.08.01,watchand_learn,chessduke000,1-0,Advance Variation,B12,2415,2386,60+0,Time forfeit,97.0,3.0,0.0,0.0,White,0.7306018854242204,0.7200870195794054,1.9229003993555207,1.8471600628432463,1.0,60.0,Correct,97
Bullet,2024.08.01,Dutib_64,Briefwinters12,1-0,Ross Gambit,C21,2009,2005,60+0,Time forfeit,105.0,2.0,0.0,2.0,White,0.5833937635968093,0.5819434372733865,0.8864504611877906,0.8752490390019538,1.0,60.0,Correct,98
Blitz,2024.08.01,JamesDeno,Persia_King,1/2-1/2,Modern Defense,A40,1283,1260,180+0,Normal,101.0,2.0,0.0,0.0,Draw,0.3201595358955765,0.3118201595358956,-0.9669058321860332,-1.025206900005298,0.5,180.0,Correct,99
Blitz,2024.08.01,gman322,Sumash,1/2-1/2,Closed,B23,1689,1687,180+0,Time forfeit,99.0,2.0,1.0,0.0,Draw,0.4673676577229877,0.4666424945612762,0.0695441059816974,0.0640477120163081,0.5,180.0,Correct,100
Blitz,2024.08.01,numa2020,ALBINOBIANCHI,0-1,Exchange Variation,C01,1877,2164,180+1,Normal,104.0,4.0,0.0,0.0,Black,0.5355329949238579,0.6395939086294417,0.5494765896652771,1.2808497024947767,0.0,180.0,Correct,101
Rapid,2024.08.01,BorisVian777,expberfer,1/2-1/2,Standard Defense,B06,2002,1978,600+0,Normal,120.0,3.0,0.0,0.0,Draw,0.5808556925308195,0.5721537345902828,0.8685806346676572,0.8063734546352481,0.5,600.0,Correct,102
Blitz,2024.08.01,M_hurtadoh,zoegarita,0-1,King's English Variation,A20,1243,1341,180+2,Time forfeit,119.0,2.0,1.0,0.0,Black,0.3056562726613488,0.3411892675852067,-1.069019126586795,-0.8185801469051807,0.0,180.0,Correct,103
Classic,2024.08.01,rinsenrepeat,aaoosty,1/2-1/2,Chigorin Variation,D02,1402,1443,1800+0,Normal,94.0,3.0,1.0,0.0,Draw,0.3633067440174039,0.3781725888324873,-0.6631187813437673,-0.5583834948531811,0.5,1800.0,Correct,104
Blitz,2024.08.01,Opo-Bue,Aleksey_B-l-ff,1-0,Tennison Gambit,A06,1820,1633,300+4,Normal,165.0,3.0,1.0,0.0,White,0.5148658448150834,0.4470630891950689,0.4039651451441918,-0.0737034567171034,1.0,300.0,Correct,105
Rapid,2024.08.01,dedKolyaan,Andrey_D,0-1,Leonardis Variation,C20,1700,1711,600+0,Normal,94.0,3.0,1.0,0.0,Black,0.4713560551124003,0.4753444525018129,0.0976252619419068,0.1252704536756021,0.0,600.0,Correct,106
Blitz,2024.08.01,tornado85,goranchess,1-0,"Main Line, Leonhardt Gambit",B01,1918,1927,180+0,Normal,90.0,3.0,0.0,1.0,White,0.5503988397389412,0.5536620739666425,0.6541427164260578,0.6762751286092483,1.0,180.0,Correct,107
Blitz,2024.08.01,GambitoMD,DoctorAdmin,1-0,Three Knights Opening,C46,1428,1284,180+0,Normal,101.0,1.0,1.0,1.0,White,0.3727338651196519,0.3205221174764322,-0.5967451399832723,-0.963984158346004,1.0,180.0,Correct,108
